07/24 21:28:21.037 Normal:  Status: 3.62 GB downloaded (2.023% complete) current rate:  257 kB/s
07/24 21:28:26.050 Normal:  Status: 3.67 GB downloaded (2.049% complete) current rate:  2.77 MB/s
07/24 21:28:31.063 Normal:  Status: 3.71 GB downloaded (2.069% complete) current rate:  4.36 MB/s
07/24 21:28:36.085 Normal:  Status: 3.77 GB downloaded (2.104% complete) current rate:  10.5 MB/s
07/24 21:28:41.126 Normal:  Status: 3.80 GB downloaded (2.123% complete) current rate:  8.55 MB/s
07/24 21:28:46.183 Normal:  Status: 3.82 GB downloaded (2.134% complete) current rate:  5.47 MB/s
07/24 21:28:51.229 Normal:  Status: 3.83 GB downloaded (2.137% complete) current rate:  4.82 MB/s
07/24 21:28:56.269 Normal:  Status: 3.84 GB downloaded (2.146% complete) current rate:  3.29 MB/s
07/24 21:29:01.308 Normal:  Status: 3.89 GB downloaded (2.172% complete) current rate:  4.06 MB/s
07/24 21:29:06.352 Normal:  Status: 3.90 GB downloaded (2.180% complete) current rate:  3.92 MB/s
07/24 21:29:11.388 Normal:  Status: 3.92 GB downloaded (2.189% complete) current rate:  8.17 MB/s
07/24 21:29:16.445 Normal:  Status: 3.95 GB downloaded (2.207% complete) current rate:  7.83 MB/s
07/24 21:29:21.485 Normal:  Status: 4.00 GB downloaded (2.232% complete) current rate:  4.04 MB/s
07/24 21:29:26.531 Normal:  Status: 4.01 GB downloaded (2.240% complete) current rate:  4.75 MB/s
07/24 21:29:31.545 Normal:  Status: 4.06 GB downloaded (2.266% complete) current rate:  8.06 MB/s
07/24 21:29:36.558 Normal:  Status: 4.07 GB downloaded (2.275% complete) current rate:  7.75 MB/s
07/24 21:29:41.566 Normal:  Status: 4.13 GB downloaded (2.306% complete) current rate:  7.36 MB/s
07/24 21:29:46.614 Normal:  Status: 4.13 GB downloaded (2.306% complete) current rate:  9.61 MB/s
07/24 21:29:51.639 Normal:  Status: 4.17 GB downloaded (2.326% complete) current rate:  10.5 MB/s
07/24 21:29:56.689 Normal:  Status: 4.18 GB downloaded (2.335% complete) current rate:  6.51 MB/s
07/24 21:30:01.730 Normal:  Status: 4.22 GB downloaded (2.355% complete) current rate:  4.23 MB/s
07/24 21:30:06.787 Normal:  Status: 4.24 GB downloaded (2.367% complete) current rate:  3.19 MB/s
07/24 21:30:11.781 Normal:  Status: 4.28 GB downloaded (2.387% complete) current rate:  1.98 MB/s
07/24 21:30:16.839 Normal:  Status: 4.28 GB downloaded (2.387% complete) current rate:  5.16 MB/s
07/24 21:30:21.874 Normal:  Status: 4.30 GB downloaded (2.399% complete) current rate:  4.94 MB/s
07/24 21:30:26.885 Normal:  Status: 4.35 GB downloaded (2.428% complete) current rate:  5.88 MB/s
07/24 21:30:31.886 Normal:  Status: 4.38 GB downloaded (2.447% complete) current rate:  3.48 MB/s
07/24 21:30:36.944 Normal:  Status: 4.40 GB downloaded (2.456% complete) current rate:  4.50 MB/s
07/24 21:30:41.982 Normal:  Status: 4.44 GB downloaded (2.478% complete) current rate:  6.21 MB/s
07/24 21:30:47.038 Normal:  Status: 4.51 GB downloaded (2.516% complete) current rate:  5.95 MB/s
07/24 21:30:52.427 Normal:  Status: 4.53 GB downloaded (2.528% complete) current rate:  7.85 MB/s
07/24 21:30:57.093 Normal:  Status: 4.54 GB downloaded (2.537% complete) current rate:  10.5 MB/s
07/24 21:31:02.091 Normal:  Status: 4.58 GB downloaded (2.559% complete) current rate:  7.76 MB/s
07/24 21:31:07.107 Normal:  Status: 4.62 GB downloaded (2.578% complete) current rate:  4.71 MB/s
07/24 21:31:12.101 Normal:  Status: 4.62 GB downloaded (2.578% complete) current rate:  3.62 MB/s
07/24 21:31:17.107 Normal:  Status: 4.65 GB downloaded (2.596% complete) current rate:  1.18 MB/s
07/24 21:31:22.149 Normal:  Status: 4.67 GB downloaded (2.606% complete) current rate:  1.64 MB/s
07/24 21:31:27.157 Normal:  Status: 4.70 GB downloaded (2.625% complete) current rate:  3.96 MB/s
07/24 21:31:32.201 Normal:  Status: 4.73 GB downloaded (2.643% complete) current rate:  4.80 MB/s
07/24 21:31:37.225 Normal:  Status: 4.76 GB downloaded (2.655% complete) current rate:  4.17 MB/s
07/24 21:31:42.261 Normal:  Status: 4.79 GB downloaded (2.675% complete) current rate:  6.07 MB/s
07/24 21:31:47.275 Normal:  Status: 4.79 GB downloaded (2.675% complete) current rate:  1.99 MB/s
07/24 21:31:52.283 Normal:  Status: 4.81 GB downloaded (2.686% complete) current rate:  1.83 MB/s
07/24 21:31:57.307 Normal:  Status: 4.86 GB downloaded (2.714% complete) current rate:  2.88 MB/s
07/24 21:32:02.350 Normal:  Status: 4.90 GB downloaded (2.736% complete) current rate:  7.87 MB/s
07/24 21:32:07.362 Normal:  Status: 4.90 GB downloaded (2.736% complete) current rate:  8.63 MB/s
07/24 21:32:12.404 Normal:  Status: 4.91 GB downloaded (2.743% complete) current rate:  11.0 MB/s
07/24 21:32:17.435 Normal:  Status: 4.98 GB downloaded (2.778% complete) current rate:  7.96 MB/s
07/24 21:32:22.446 Normal:  Status: 5.01 GB downloaded (2.798% complete) current rate:  5.50 MB/s
07/24 21:32:27.492 Normal:  Status: 5.03 GB downloaded (2.808% complete) current rate:  5.99 MB/s
07/24 21:32:32.527 Normal:  Status: 5.03 GB downloaded (2.808% complete) current rate:  6.53 MB/s
07/24 21:32:37.549 Normal:  Status: 5.03 GB downloaded (2.808% complete) current rate:  8.33 MB/s
07/24 21:32:42.555 Normal:  Status: 5.04 GB downloaded (2.816% complete) current rate:  5.81 MB/s
07/24 21:32:47.591 Normal:  Status: 5.07 GB downloaded (2.831% complete) current rate:  4.17 MB/s
07/24 21:32:52.585 Normal:  Status: 5.10 GB downloaded (2.846% complete) current rate:  3.79 MB/s
07/24 21:32:57.622 Normal:  Status: 5.13 GB downloaded (2.862% complete) current rate:  6.95 MB/s
07/24 21:33:02.646 Normal:  Status: 5.14 GB downloaded (2.872% complete) current rate:  5.99 MB/s
07/24 21:33:07.681 Normal:  Status: 5.16 GB downloaded (2.882% complete) current rate:  5.28 MB/s
07/24 21:33:12.726 Normal:  Status: 5.25 GB downloaded (2.930% complete) current rate:  4.34 MB/s
07/24 21:33:17.748 Normal:  Status: 5.25 GB downloaded (2.932% complete) current rate:  2.12 MB/s
07/24 21:33:22.754 Normal:  Status: 5.29 GB downloaded (2.952% complete) current rate:  1.46 MB/s
07/24 21:33:27.769 Normal:  Status: 5.33 GB downloaded (2.975% complete) current rate:  4.35 MB/s
07/24 21:33:32.786 Normal:  Status: 5.35 GB downloaded (2.985% complete) current rate:  3.23 MB/s
07/24 21:33:37.821 Normal:  Status: 5.38 GB downloaded (3.001% complete) current rate:  1.52 MB/s
07/24 21:33:42.826 Normal:  Status: 5.42 GB downloaded (3.025% complete) current rate:  1.52 MB/s
07/24 21:33:47.860 Normal:  Status: 5.44 GB downloaded (3.036% complete) current rate:  1.97 MB/s
07/24 21:33:52.886 Normal:  Status: 5.47 GB downloaded (3.054% complete) current rate:  5.13 MB/s
07/24 21:33:57.940 Normal:  Status: 5.49 GB downloaded (3.064% complete) current rate:  8.34 MB/s
07/24 21:34:02.972 Normal:  Status: 5.54 GB downloaded (3.095% complete) current rate:  10.2 MB/s
07/24 21:34:07.987 Normal:  Status: 5.57 GB downloaded (3.110% complete) current rate:  6.63 MB/s
